worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Syllis heterochaeta,195998,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,2003,NA,NA,NA,NA,34.4539985657,-120.196998596,57,NA,Typosyllis heterochaeta,0
Acromegalomma splendidum,994124,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Acromegalomma,2002,NA,NA,NA,NA,58.7859992981,-152.817993164,167.5,NA,Megalomma splendida,0
Malmgreniella macginitiei,329206,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Malmgreniella,NA,NA,NA,NA,Puget Sound,47.57433,-122.3433,14.8,Originally identified as 'Malmgreniella macginitiei',Malmgreniella macginitiei,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,South La Jolla,32.81345,-117.28576699999999,11.1,NA,Laminaria,0
Heteromastus filiformis,129884,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Heteromastus,NA,NA,NA,NA,San Francisco Bay,37.52747,-122.1366,2.4,Originally identified as 'Heteromastus filiformis',Heteromastus filiformis,0
Glycymeris gigantea,504514,species,Mollusca,Bivalvia,Autobranchia,Arcida,Glycymerididae,Glycymeris,NA,NA,Sonora,NA,"San Carlos, beach across from Estero El Soldado",27.957235,-110.983468,NA,NA,Glycymeris gigantea,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Broomtail Reef,32.694233000000004,-117.26806599999999,11,NA,Laminaria,0
Exogone,129654,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2002,NA,NA,NA,NA,59.908000946,-148.065002441,72.5,NA,Exogone sp,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2000,NA,NA,NA,NA,37.9000015259,-122.459999084,15,NA,Mediomastus sp,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Lechuza,34.034034999999996,-118.871315,7,NA,Laminaria,0
Ameritella carpenteri,878479,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,1985,NA,NA,NA,NA,54.2999992371,-131.470001221,146,NA,Tellina carpenteri,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1999,NA,NA,NA,NA,33.7239990234,-118.213996887,22,NA,Pholoe glabra,0
Phyllodoce,129455,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,48.115,-122.724,13.2,Originally identified as 'Phyllodoce (LPIL)',Phyllodoce,0
Compsomyax,492504,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Compsomyax,1960,NA,NA,NA,NA,53.2999992371,-131.88999939,23.7744,NA,Compsomyax,0
Harmothoe imbricata,130769,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Harmothoe,NA,NA,Alaska,Kodiak Island,Akhiok Bay,56.946533,-154.12925,NA,NA,Harmothoe imbricata,0
Macoma nasuta,582761,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,1999,NA,NA,NA,NA,48.1500015259,-123.160003662,2.1,NA,Macoma nasuta,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Long Point West,33.410526000000004,-118.378906,17.7,NA,Laminaria,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1999,NA,NA,NA,NA,32.7719993591,-117.209999084,1,NA,Mediomastus,0
Phyllodoce hartmanae,330596,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,33.736000061,-118.410003662,25,NA,Phyllodoce hartmanae,0
Tucetona multicostata,504543,species,Mollusca,Bivalvia,Autobranchia,Arcida,Glycymerididae,Tucetona,NA,NA,"NA","NA",Gulf of Panama,8.2354666667,-79.0810166667,NA,NA,Glycymeris multicostata,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,1999,NA,NA,NA,NA,47.9199981689,-122.680000305,14,NA,Glycinde polygnatha,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,Puget Sound,47.1689,-122.7358,51,Originally identified as 'Pholoe glabra',Pholoe glabra,0
Naineris,129419,genus,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Naineris,NA,NA,Alaska,Kachemak Bay,Outside Beach,59.464233,-151.7085,NA,NA,Naineris,0
Sigalion spinosus,334789,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sigalion,2003,NA,NA,NA,NA,33.8479995728,-118.568000793,81,NA,Sigalion spinosus,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1999,NA,NA,NA,NA,38.0019989014,-122.90599823,30,NA,Mediomastus californiensis,0
