"","index","worms_sciname","min_lat","max_lat"
"267","267","Nereis eakini",32.7,53.1399993896
"268","268","Nereis fauchaldi",28.118889,31.833333
"269","269","Nereis grubei",34.0250015259,60
"270","270","Nereis heterocirrata",36.7968,36.7968
"271","271","Nereis imajimai",26.61,31.85
"272","272","Nereis latescens",25.819722,53.3289
"273","273","Nereis ligulata",35.0664,35.0664
"274","274","Nereis neoneanthes",48.480567,60.3
"275","275","Nereis pelagica",25.505,61.13
"276","276","Nereis vexillosa",36.955363,61.116667
"277","277","Nereis zonata",28.683333,61.105833
"278","278","Nicon moniloceras",28.173333,34.3339996338
"279","279","Nicon yaquinae",44.558333333333,44.558333333333
"280","280","Notodasus harrisae",26.63835,31.343611
"281","281","Notomastus (Notomastus) sonorae",31.341666666667,31.341666666667
"282","282","Notomastus giganteus",50.35,59.206667
"283","283","Notomastus hemipodus",25.976667,48.8199996948
"284","284","Notomastus latericeus",25.04,51.730709
"285","285","Notomastus lineatus",25.556667,59.908000946
"286","286","Notomastus magnus",25.481667,38.4650001526
"287","287","Notomastus polyodon",26.759167,31.343611
"288","288","Notomastus tenuis",25.04,59.85
"289","289","Notomastus variegatus",49.308333,49.308333
"290","290","Notophyllum foliosum",56.946533,56.946533
"291","291","Notophyllum imbricatum",48.5462,60.484444
"292","292","Notophyllum tectum",48.5462,60.333333
"293","293","Odontosyllis fragilis",34.4076,34.40764
"294","294","Odontosyllis maculata",56.946533,56.946533
"295","295","Odontosyllis parva",31.862556,53.628333
"296","296","Odontosyllis pentalineata",32.81446,32.83766
"297","297","Odontosyllis phosphorea",31.88445,54.0699996948
"298","298","Opisthodonta mitchelli",33.9659996033,34.7706
"299","299","Opisthodonta tridentata",33.8269996643,34.71264
"300","300","Opisthodonta uraga",44.3860015869,53.1500015259
"301","301","Opisthosyllis leslieharrisae",33.445,43.3384
"302","302","Orbiniella nuda",48.416667,60.381167
"303","303","Orbiniella tumida",37.207,37.666667
"304","304","Oriopsis gracilis",53.585,53.585
"305","305","Paradialychone bimaculata",47.1800003052,47.8662
